YOC,AA_NOC,AA_CR1000,AA_PA,AA_NOB,U16 NOC,U16_CR1000,U16_PA,U16_NOB,U18_NOC ,U18_CR1000,U18_PA,U18_NOB,U20_NOC,U20_CR1000,U20_PA,U20_NOB,20_24_NOC,20_24_CR1000,20_24_PA,20_24_NOB,25_29_NOC,25_29_ CR1000,25_29_PA,25_29_NOB,30_34_NOC,30_34_CR1000,30_34_PA,30_34_NOB,35_39_NOC,35_39_CR1000,35_39_PA,35_39_NOB,40_NOC,40_CR1000,40_PA,40_NOB
2020,"817,515",73.4,25.3,610683.705,"2,085",2.1,61.8,796.47,"12,576",13.1,52.8,5935.872,"42,093",26.3,50.1,21004.407,"138,373",77.8,38,85791.26,"224,959",115.5,22.7,173893.307,"248,528",123.9,17.4,205284.128,"132,113",66.7,21.4,103840.818,"31,438",17.1,34.1,20717.642
2019,"821,089",73.8,25.2,614174.572,"2,430",2.5,62.6,908.82,"14,857",15.8,54.4,6774.792,"48,399",30.5,50,24199.5,"145,410",81.2,37.3,91172.07,"228,893",116.2,22.5,177392.075,"239,353",119.4,17.3,197944.931,"128,898",65.2,20.5,102473.91,"30,015",16.7,30.8,20770.38
2018,"839,043",75.4,24,637672.68,"2,413",2.5,61.6,926.592,"15,644",16.8,52.8,7383.968,"51,089",32.1,48.4,26361.924,"151,520",84,35,98488,"235,430",118.8,21.4,185047.98,"242,210",121.6,16.2,202971.98,"129,577",66,19.2,104698.216,"29,202",16.3,30.3,20353.794
2017,"847,204",76.1,22.7,654888.692,"2,517",2.7,60.7,989.181,"16,740",17.9,51.7,8085.42,"52,966",33,47,28071.98,"155,504",85.7,33.2,103876.672,"240,352",120.6,20,192281.6,"240,799",121.9,15,204679.15,"128,692",67,18.1,105398.748,"28,793",15.8,28.7,20529.409
2016,"863,106",77.3,21.8,674948.892,"2,821",3.1,61.5,1086.085,"18,086",18.9,51.4,8789.796,"56,157",34.3,45.7,30493.251,"161,270",87.8,31.6,110308.68,"247,222",124.5,18.9,200497.042,"242,592",123.4,14.2,208143.936,"127,106",67.9,17.3,105116.662,"28,759",15.4,28.1,20677.721
2015,"876,934",78.3,21.2,691023.992,"3,466",3.8,59.5,1403.73,"20,351",21,50.8,10012.692,"59,815",36.2,45.3,32718.805,"168,391",90.4,30.5,117031.745,"249,965",127.1,18.1,204721.335,"244,881",124.9,13.6,211577.184,"124,692",68.3,16.7,103868.436,"29,190",15.1,28.1,20987.61
2014,"871,038",77.8,21.1,687248.982,"4,160",4.4,62.5,1560,"22,653",22.9,50.8,11145.276,"63,116",37.9,44.6,34966.264,"173,931",92.8,29.9,121925.631,"247,472",126.8,17.7,203669.456,"240,084",122.9,13.3,208152.828,"117,826",66,16.5,98384.71,"28,609",14.5,28.1,20569.871
2013,"872,849",77.8,21.2,687805.012,"4,648",4.9,61.6,1784.832,"24,306",24.5,50.7,11982.858,"67,863",40.5,44.2,37867.554,"180,541",96,29.8,126739.782,"245,461",126.7,17.6,202259.864,"235,968",121.6,13.2,204820.224,"114,351",64.5,16.3,95711.787,"28,665",14.2,28.3,20552.805
2012,"884,748",78.5,20.8,700720.416,"5,432",5.6,59.8,2183.664,"27,834",27.9,48.7,14278.842,"74,948",44.2,43,42720.36,"189,982",100.3,28.5,135837.13,"245,182",127.3,16.9,203746.242,"231,623",122,13,201512.01,"114,299",63.4,16,96011.16,"28,714",14,28.1,20645.366
2011,"909,109",80.4,20.8,720014.328,"5,991",6.1,60.2,2384.418,"31,051",30.9,48.8,15898.112,"84,015",48.9,42.5,48308.625,"199,891",106.1,27.7,144521.193,"248,663",129.3,16.9,206638.953,"231,149",124.9,12.8,201561.928,"116,644",62.8,16,97980.96,"28,747",13.9,27.9,20726.587
